"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-01","1971","01","01","","-1.1","","-12.2","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-02","1971","01","02","","2.2","","-10.0","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-03","1971","01","03","","1.1","","0.0","","0.6","","17.4","","0.0","","0.0","","3.6","","3.6","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-04","1971","01","04","","6.1","","-1.1","","2.5","","15.5","","0.0","","1.3","","2.5","","3.8","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-05","1971","01","05","","-1.7","","-3.3","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-06","1971","01","06","","-5.6","","-8.9","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-07","1971","01","07","","-7.2","","-12.2","","-9.7","","27.7","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-08","1971","01","08","","-7.2","","-16.7","","-12.0","","30.0","","0.0","","0.0","","2.5","E","2.5","E","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-09","1971","01","09","","-1.1","","-10.0","","-5.6","","23.6","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-10","1971","01","10","","0.0","","-6.1","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-11","1971","01","11","","0.6","","-10.0","","-4.7","","22.7","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-12","1971","01","12","","-12.2","","-17.2","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-13","1971","01","13","","-5.6","","-16.1","","-10.9","","28.9","","0.0","","1.3","E","3.6","","4.8","E","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-14","1971","01","14","","-0.6","","-12.2","","-6.4","","24.4","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-15","1971","01","15","","-6.1","","-9.4","","-7.8","","25.8","","0.0","","0.0","","0.3","","0.3","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-16","1971","01","16","","-12.2","","-18.9","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-17","1971","01","17","","-7.2","","-17.2","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-18","1971","01","18","","-17.2","","-20.0","","-18.6","","36.6","","0.0","","0.0","","0.3","","0.3","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-19","1971","01","19","","-12.8","","-20.6","","-16.7","","34.7","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-20","1971","01","20","","-1.7","","-15.6","","-8.7","","26.7","","0.0","","0.0","","3.6","","3.6","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-21","1971","01","21","","0.6","","-8.3","","-3.9","","21.9","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-22","1971","01","22","","1.1","","-3.3","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-23","1971","01","23","","-1.1","","-3.9","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-24","1971","01","24","","0.0","","-2.8","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-25","1971","01","25","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-26","1971","01","26","","-0.6","","-10.0","","-5.3","","23.3","","0.0","","0.0","","7.9","","7.9","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-27","1971","01","27","","-12.8","","-19.4","","-16.1","","34.1","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-28","1971","01","28","","-10.6","","-18.3","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.23","43.72","TORONTO SCARBOROUGH","6158776","1971-01-29","1971","01","29","","-5.0","","-13.3","","-9.2","","27.2","","0.0","","0.0","","10.2","E","10.2","E","","","","","",""
